Asset,Weight
AAPL,0.0
ACN,0.0
AMP,0.0
AMT,0.0827078583710927
ARE,0.1093253732686591
ASGN,0.0
ASIX,0.0
BCO,3.132809226104576e-18
CBT,3.352268638442576e-17
CC,0.0
CDNS,6.2034124356160916e-18
CRM,1.0417892084615689e-17
EBAY,0.1505748601312426
FIVE,0.0
FN,0.0336044882087496
FR,0.0
FTNT,0.0043706503438164
HOLX,0.0836724274655151
JBHT,0.0926622988910681
KIM,3.931369661386778e-18
MATX,5.0954875387816334e-18
MHK,9.93511683581305e-18
NKE,0.0348276313701909
NVDA,8.126629057742935e-18
ON,2.975294161249283e-17
SPG,0.0
STM,0.0
TEL,0.0
WDAY,0.0
WM,0.408254411949665
